name,acronym,source,faculty,institute,number_women,number_men,,
"Architecture, Critiquem History and Theory"," ACHT",https://www.epfl.ch/labs/acht/,ENAC,IA,1,3,,
Design Studio on the Conception of Space,ALICE,https://www.epfl.ch/labs/alice/,ENAC,IA,12,21,,
"Chair of Mathematical Analysis,  Calculus of Variations and PDEs"," AMCV",https://www.epfl.ch/labs/amcv/,SB,MATH,2,6,,
Numerical Algorithms and High-Performance Computing - CADMOS Chair,ANCHP,https://www.epfl.ch/labs/anchp/,SB,MATH,2,4,,
Group of Mathematical Analysis,ANMATH,https://www.epfl.ch/labs/anmath/,SB,MATH,4,15,,
Chair of Computational Mathematics and Numerical Analysis,ANMC,https://www.epfl.ch/labs/anmc/,SB,MATH,1,6,,
Physics of Aquatic Systems Laboratory - Margaretha Kamprad Chair,APHYS,https://www.epfl.ch/labs/aphys/,ENAC,IIE,4,7,,
Applied Superconductivity group,APPLIEDSC,https://www.epfl.ch/labs/appliedsc/,IC,,1,3,,
Atmospheric Particle Research Laboratory,APRL,https://www.epfl.ch/labs/aprl/,ENAC,IIE,0,1,,
Advanced Quantum Architecture Laboratory,AQUA,https://www.epfl.ch/labs/aqua/,STI,IMT,2,28,,
Chair of Arithmetic Geometry,ARG,https://www.epfl.ch/labs/arg/,SB,MATH,1,3,,
Adaptive Systems Laboratory,ASL,https://asl.epfl.ch/,STI,IEL,5,5,,
Chair of Business Analytics,BAN,https://www.epfl.ch/labs/ban/,CDM,MTEI,2,3,,
Biorobotics Laboratory,BIOROB,https://www.epfl.ch/labs/biorob/,STI,IBI,7,16,,
Bionanophotonic Systems Laboratory,BIOS,https://www.epfl.ch/labs/bios/,STI,IBI,7,8,,
Chair of Biostatistics,BIOSTAT,https://www.epfl.ch/labs/biostat/,SB,MATH,0,3,,
Biomedical and neuromorphic microelectronic systems group,BNMS,https://www.epfl.ch/labs/bnms/,STI,IEL,1,3,,
Building 2050,BUILD,https://www.epfl.ch/labs/building2050/,ENAC,IA,2,3,,
Chair of Computational Condensed Matter Physics,C3MP,https://www.epfl.ch/labs/c3mp/,SB,IPHYS,2,9,,
Chair of Combinatorial Analysis,CAC,https://www.epfl.ch/labs/cac/,SB,MATH,0,1,,
Chair of Algebraic Geometry,CAG,https://www.epfl.ch/labs/cag/,SB,MATH,2,5,,
Chair of Analysis and Applied Mathematics,CAMA,https://www.epfl.ch/labs/cama/,SB,MATH,0,2,,
Chair of Analysis and Mathematical Physics,CAMP,https://www.epfl.ch/labs/camp/,SB,MATH,1,2,,
Composite Construction Laboratory,CCLAB,https://www.epfl.ch/labs/cclab/,ENAC,IIC,4,6,,
Urban and regional planning community,CEAT,https://www.epfl.ch/labs/ceat/,ENAC,IA,2,8,,
Chair of Economics and Management of Innovation,CEMI,https://www.epfl.ch/labs/cemi/,CDM,MTEI,1,2,,
Chair of International Finance,CFI,https://www.epfl.ch/labs/cfi/,CDM,SFI,3,4,,
Computational Granular Dynamics,CGD,https://www.epfl.ch/labs/cgd/,STI,IGM,0,1,,
Computer-Human Interaction Lab for Learning &amp; Instruction,CHILI,https://www.epfl.ch/labs/chili/,IC,,9,17,,
Laboratory of Life Sciences Electronics,CLSE,https://www.epfl.ch/labs/clse/,STI,IBI,5,6,,
Merck Serono Chair in Oncology,CMSO,https://www.epfl.ch/labs/hanahan-lab/,SV,ISREC,11,4,,
Laboratory of Digital Culture for Architectural Projects,CNPA,https://www.epfl.ch/labs/cnpa/,ENAC,IA,2,11,,
Laboratory of Computational Science and Modelling,COSMO,https://www.epfl.ch/labs/cosmo/,STI,IMX,7,20,,
